"id","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
20,"Channa Ve (From ""Bhoot - Part One: The Haunted Ship"")","Channa Ve",75,211578,FALSE,0.676,0.696,9,-6.68,1,0.0452,0.666,0,0.0931,0.606,94.945,4,"pop"
21,"Rock Christmas 2022 - The Very Best Of","Happy Holiday",0,115506,FALSE,0.369,0.499,6,-9.301,1,0.0448,0.829,1.75e-06,0.154,0.69,192.76,3,"jazz"
22,"Main Rahoon Ya Na Rahoon","Main Rahoon Ya Na Rahoon",69,309457,FALSE,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,3,"pop"
23,"Best Christmas Songs 2022 | For under the Mistletoe","Cool Yule",0,176699,FALSE,0.568,0.505,0,-8.041,1,0.128,0.676,1.67e-05,0.516,0.692,149.439,4,"jazz"
24,"High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)","High On Love",65,240169,FALSE,0.627,0.779,4,-4.944,0,0.0392,0.214,9.34e-06,0.112,0.619,149.929,4,"pop"
25,"Transmissions (Deluxe Version)","My Demons",73,288036,FALSE,0.274,0.652,5,-6.196,0,0.0625,0.00768,6.42e-05,0.108,0.1,173.008,4,"rock"
26,"Weihnachten Playlist","I Like A Sleighride (Jingle Bells)",0,125613,FALSE,0.758,0.451,6,-8.001,1,0.0375,0.75,0,0.0503,0.737,122.912,4,"jazz"
27,"Tio vackra visor och personliga Person","Deirdres samba",38,181800,FALSE,0.624,0.296,0,-17.159,1,0.0585,0.93,0.108,0.128,0.854,100.481,4,"jazz"
28,"Halloween Metal Nights","Heaven Nor Hell",1,322613,FALSE,0.411,0.767,3,-4.211,1,0.056,0.000621,0.00842,0.134,0.659,134.408,4,"rock"
29,"Ved","Udd Gaye",67,180413,FALSE,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,4,"pop"
30,"Holiday Tunes 2022","The Christmas Waltz",0,173106,FALSE,0.25,0.168,1,-16.789,0,0.0329,0.822,0.000135,0.136,0.141,107.269,3,"jazz"
31,"Kaanunna Kalyanam [From ""Sita Ramam (Telugu)""]","Kaanunna Kalyanam (From ""Sita Ramam (Telugu)"")",72,232513,FALSE,0.502,0.425,6,-12.018,0,0.0413,0.664,0,0.364,0.72,180.2,3,"pop"
32,"Raja Rani (Original Motion Picture Soundtrack)","Imaye Imaye",64,208440,FALSE,0.504,0.364,1,-9.277,0,0.03,0.893,7.88e-05,0.0904,0.365,149.819,4,"pop"
33,"noches de lluvia","Mis Planes Son Amarte",0,210520,FALSE,0.611,0.509,9,-9.382,1,0.127,0.69,2.64e-06,0.0855,0.425,90.168,4,"rock"
34,"Christmas Classics","Santa Claus Is Coming To Town",0,166666,FALSE,0.759,0.451,5,-9.136,1,0.0471,0.611,0,0.263,0.679,112.099,4,"rock"
35,"This Is Acting","Unstoppable",81,217746,FALSE,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4,"pop"
36,"I (Original Motion Picture Soundtrack)","Ennodu Nee Irundhaal",68,352710,FALSE,0.261,0.603,0,-6.733,1,0.0367,0.558,0,0.184,0.207,158.125,4,"pop"
37,"Chill Christmas Dinner","The Secret Of Christmas",0,168146,FALSE,0.258,0.175,0,-11.903,1,0.0323,0.939,0.000156,0.136,0.107,89.072,3,"jazz"
38,"Holiday Favorites 2022","The Christmas Song (Merry Christmas To You)",0,192160,FALSE,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,"jazz"
39,"Heartless","Main Dhoondne Ko Zamaane Mein",69,262986,FALSE,0.329,0.45,2,-6.312,0,0.0405,0.594,0,0.13,0.284,80.095,4,"pop"
40,"Halloween Metal Nights","Square Hammer",2,239293,FALSE,0.529,0.903,2,-4.396,0,0.0483,3.31e-05,0.182,0.259,0.746,129.986,4,"rock"
41,"Twisted Halloween Hits","Bewitched, Bothered, And Bewildered - Stereo Version",0,424317,FALSE,0.422,0.108,5,-16.835,1,0.0376,0.971,0,0.101,0.263,71.872,4,"jazz"
42,"Sad Covers 2022","With Or Without You - Jo Whiley Show - BBC Live Session",3,212333,FALSE,0.395,0.382,2,-10.689,1,0.0329,0.918,1.96e-05,0.719,0.0582,108.082,4,"rock"
43,"Jab Koi Baat - Recreated","Jab Koi Baat - Recreated",66,192228,FALSE,0.667,0.621,5,-5.697,1,0.0271,0.47,4.15e-05,0.13,0.451,106.032,4,"pop"
44,"Maiyya Mainu (From ""Jersey"")","Maiyya Mainu (From ""Jersey"")",78,231575,FALSE,0.63,0.739,0,-3.942,1,0.0248,0.194,0,0.113,0.224,109.985,4,"pop"
45,"Christmas Day Chill","The Christmas Song",0,224906,FALSE,0.321,0.09,0,-21.296,0,0.0321,0.838,0.00266,0.0998,0.157,65.825,4,"jazz"
46,"Aalas Ka Pedh","Choo Lo",67,233630,FALSE,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.957,4,"pop"
47,"Beste Weihnachtslieder","Mistletoe",0,183066,FALSE,0.623,0.668,6,-7.282,0,0.0531,0.475,0,0.0862,0.823,161.948,4,"pop"
48,"Clásicos de ahora: Perreo","Prohibidox",0,166253,FALSE,0.647,0.801,1,-2.946,0,0.249,0.0451,0,0.0628,0.517,180.108,4,"pop"
49,"Mera Dil Bhi Kitna Pagal Hai (Recreated Version)","Mera Dil Bhi Kitna Pagal Hai - Recreated Version",70,200827,FALSE,0.601,0.733,6,-5.987,0,0.0362,0.333,1.73e-06,0.406,0.375,94.017,4,"pop"
50,"Christmas Songs 2022","Let It Snow! Let It Snow! Let It Snow!",1,169680,FALSE,0.549,0.4,9,-9.302,1,0.0284,0.835,0,0.178,0.49,106.998,4,"rock"
51,"Left and Right (Feat. Jung Kook of BTS)","Left and Right (Feat. Jung Kook of BTS)",92,154486,FALSE,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,4,"pop"
52,"Nindiya Re (Studio Version)","Nindiya Re - Studio Version",50,225645,FALSE,0.655,0.104,5,-21.089,1,0.0319,0.891,0.0011,0.105,0.506,99.986,4,"rock"
53,"Halloween Spooky Party 2022","Sorry Sack Of Bones",0,228666,TRUE,0.407,0.954,7,-3.753,1,0.0532,0.000629,0.186,0.0545,0.454,171.988,4,"rock"
54,"Timeless Rock Hits","Hot Blooded",1,184906,FALSE,0.681,0.664,0,-8.036,1,0.0922,0.299,0,0.0772,0.729,118.33,4,"rock"
55,"TIME","シルエット",73,240133,FALSE,0.436,0.934,2,-2.685,1,0.0507,1.03e-05,0.14,0.321,0.384,91.481,4,"rock"
56,"Weihnachtslieder 2022","The Christmas Waltz",0,173106,FALSE,0.25,0.168,1,-16.789,0,0.0329,0.822,0.000135,0.136,0.141,107.269,3,"jazz"
57,"Naah Goriye (From ""Bala"")","Naah Goriye (From ""Bala"")",64,184617,FALSE,0.823,0.765,2,-1.695,0,0.0633,0.464,0,0.0601,0.715,99.96,4,"pop"
58,"JULMYS","December",0,185680,FALSE,0.414,0.131,4,-12.817,1,0.0347,0.934,7.88e-05,0.11,0.112,143.778,4,"jazz"
59,"Weihnachtssongs","Baby, It's Cold Outside - Remastered 2004",0,143026,FALSE,0.499,0.304,0,-11.543,1,0.0632,0.81,0,0.0546,0.521,129.321,4,"jazz"
60,"Alternativo diferente latino","Poli / Love - En Vivo",0,256359,FALSE,0.553,0.722,7,-7.794,1,0.0327,0.101,2.83e-05,0.958,0.257,91.267,4,"rock"
61,"Christmas Classics","Frosty The Snowman - 1991 Remix",0,114551,FALSE,0.426,0.473,5,-7.924,1,0.0335,0.353,0,0.0234,0.937,181.752,4,"rock"
62,"Halloween 2022 Pop Vol. 4","Fotografía",0,238426,FALSE,0.502,0.716,7,-4.439,1,0.0587,0.291,0,0.246,0.629,169.952,4,"rock"
63,"Kasoor","Kasoor",70,197549,FALSE,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,4,"pop"
64,"Dean Martin Sings","That's Amore - Remastered",58,188106,FALSE,0.352,0.157,10,-12.571,1,0.0337,0.771,0,0.108,0.571,157.895,3,"jazz"
65,"Halloween Kids Party 2022","All The Small Things",0,171066,FALSE,0.442,0.9,0,-5.032,1,0.0529,0.0109,0,0.395,0.609,148.62,4,"rock"
66,"Planet 80's","Slippery People - 2005 Remaster",1,306320,FALSE,0.89,0.63,11,-9.661,0,0.0726,0.00876,0.00219,0.0179,0.828,104.204,4,"rock"
67,"Pudhupettai","Oru Naalil",63,384256,FALSE,0.712,0.422,6,-10.688,1,0.046,0.307,1.71e-05,0.067,0.772,80.014,4,"pop"
68,"Christmas Day Chill","Mistletoe",0,183066,FALSE,0.623,0.668,6,-7.282,0,0.0531,0.475,0,0.0862,0.823,161.948,4,"pop"
69,"Twisted Halloween Hits","all the good girls go to hell",0,168839,FALSE,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57,92.545,4,"pop"
70,"u don't deserve me","Landslide - 2018 Remaster",0,200413,FALSE,0.428,0.292,7,-15.157,0,0.0307,0.859,0.00105,0.191,0.508,159.757,4,"rock"
71,"Best Christmas Playlist Ever 2022","Let It Snow! Let It Snow! Let It Snow!",0,115240,FALSE,0.484,0.332,1,-10.312,1,0.037,0.787,0,0.373,0.683,134.999,4,"jazz"
72,"Migration","Kerala",57,237546,FALSE,0.529,0.739,7,-9.578,0,0.0718,0.0237,0.607,0.171,0.138,124.75,4,"jazz"
73,"20/20","Nothing's Gonna Change My Love for You",71,242678,FALSE,0.553,0.614,1,-5.098,1,0.0306,0.764,0,0.0811,0.345,136.628,4,"jazz"
74,"Halloween Party 2022","acting like that",0,191066,TRUE,0.522,0.9,0,-2.631,0,0.0719,6.98e-05,0,0.3,0.579,160.01,4,"rock"
75,"Anjaana Anjaani","Tujhe Bhula Diya",67,279429,FALSE,0.644,0.423,11,-8.702,0,0.0324,0.464,0,0.11,0.509,131.903,4,"pop"
76,"CHRISTMAS TOP HITS 2022","The Lighthouse Keeper",0,247493,FALSE,0.394,0.17,0,-10.368,1,0.0451,0.889,0,0.105,0.315,130.721,3,"pop"
77,"Timeless Rock Hits","Animals",4,185906,FALSE,0.569,0.963,7,-3.069,1,0.0593,0.000787,0.0256,0.22,0.82,76.995,4,"rock"
78,"Illuminate","Treat You Better",84,187973,FALSE,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,4,"pop"
79,"Music for Rainy Days","Jar of Hearts",0,246587,FALSE,0.373,0.348,3,-6.142,1,0.0314,0.728,0,0.12,0.0899,74.885,4,"rock"
80,"Pop Christmas 2022","Christmas Without You",0,197146,FALSE,0.262,0.677,7,-5.645,1,0.0528,0.447,0,0.205,0.365,207.478,3,"rock"
81,"Best Christmas Playlist Ever 2022","Christmas Time Is Here - Vocal",0,166440,FALSE,0.375,0.139,9,-19.789,0,0.0324,0.977,8.61e-06,0.0984,0.0878,75.993,3,"jazz"
82,"Na Ja","Na Ja",76,208000,FALSE,0.772,0.649,2,-6.411,1,0.143,0.0724,0,0.0761,0.824,90.072,4,"pop"
83,"Hounds Of Love","Running Up That Hill (A Deal With God)",90,298933,FALSE,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,"pop"
84,"Enemy (with JID) [from the series Arcane League of Legends]","Enemy (with JID) - from the series Arcane League of Legends",86,173381,FALSE,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,4,"rock"
85,"Mellow Electronic Pop","Leave the City",0,280493,FALSE,0.506,0.378,4,-11.641,0,0.0332,0.726,0.00514,0.0956,0.297,134.99,4,"rock"
86,"Drippy Drippy","The Hills",3,242280,TRUE,0.565,0.551,0,-7.007,0,0.0687,0.0845,0,0.139,0.125,112.98,4,"pop"
87,"Holiday Tunes 2022","Winter Wonderland",0,149306,FALSE,0.605,0.497,1,-6.676,1,0.0319,0.727,3.95e-05,0.102,0.72,126.014,4,"jazz"
88,"Adipoli (From ""Think Originals"")","Adipoli (From ""Think Originals"")",65,172750,FALSE,0.573,0.6,0,-7.751,1,0.3,0.586,7.65e-06,0.15,0.706,149.982,4,"pop"
89,"Encore","Let Me Love You",84,205946,FALSE,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4,"pop"
90,"Desayuno en calma","At Last",0,182533,FALSE,0.169,0.347,10,-8.785,1,0.0309,0.692,0.000432,0.337,0.256,176.118,3,"jazz"
91,"Christmas 2022","The Christmas Song (Chestnuts Roasting On An Open Fire)",0,210026,FALSE,0.226,0.382,1,-9.243,1,0.0288,0.845,0,0.111,0.165,81.943,4,"jazz"
92,"Christmas Classics","Baby, It's Cold Outside",0,143733,FALSE,0.439,0.196,0,-16.093,1,0.0601,0.88,0,0.0513,0.525,129.581,4,"jazz"
93,"Best Christmas Playlist Ever 2022","The Christmas Song (Merry Christmas To You)",0,192160,FALSE,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,"jazz"
94,"At Last!","At Last",75,179693,FALSE,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3,"jazz"
95,"Beste Weihnachtslieder","O Tannenbaum - Remastered 1999",0,180200,FALSE,0.25,0.228,3,-14.186,1,0.0364,0.811,0.000166,0.199,0.198,90.001,4,"jazz"
96,"OK Boomers - Top Tunes","The Last DJ",0,227986,FALSE,0.597,0.76,9,-3.94,0,0.029,0.0135,9.02e-06,0.407,0.496,131.767,4,"rock"
97,"A Very 60s Christmas","Sleigh Ride",0,175986,FALSE,0.593,0.287,1,-12.472,1,0.0469,0.764,0,0.153,0.639,77.117,4,"jazz"
98,"Bohemian Rhapsody (The Original Soundtrack)","I Want To Break Free",72,223080,FALSE,0.807,0.414,4,-8.903,1,0.0352,0.105,2.57e-05,0.0813,0.502,108.944,4,"rock"
99,"Pop Christmas 2022","Christmas All Over Again",0,253626,FALSE,0.44,0.838,9,-6.196,1,0.0423,0.0956,0,0.473,0.619,138.908,4,"rock"
100,"Inthandham [From ""Sita Ramam (Telugu)""]","Inthandham (From ""Sita Ramam (Telugu)"")",73,218808,FALSE,0.652,0.37,4,-9.922,1,0.0604,0.661,0,0.109,0.662,99.894,4,"pop"
101,"Helloween Party","The Werewolf",0,205666,FALSE,0.742,0.684,11,-6.543,0,0.137,0.139,0,0.115,0.547,133.593,4,"rock"
102,"Kind Of Blue (Legacy Edition)","Blue in Green (feat. John Coltrane & Bill Evans)",63,337733,FALSE,0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,4,"jazz"
103,"Autumn Vibes 2022","Happier Than Ever",0,298899,FALSE,0.314,0.238,0,-8.802,1,0.0389,0.741,0.00193,0.128,0.303,72.535,3,"pop"
104,"Darlings (Original Motion Picture Soundtrack)","La Ilaaj",67,264915,FALSE,0.568,0.511,9,-8.57,1,0.0351,0.119,0,0.123,0.134,117.972,4,"pop"
105,"Kailasa Jhoomo Re","Saiyyan",70,343906,FALSE,0.473,0.562,0,-8.624,1,0.0451,0.65,0.000117,0.12,0.316,74.653,3,"pop"
106,"The Car","The Car",42,198554,FALSE,0.428,0.365,4,-11.889,0,0.0276,0.78,0.0033,0.113,0.236,94.033,3,"rock"
107,"Love Yourself 轉 'Tear'","FAKE LOVE",76,242333,FALSE,0.557,0.719,2,-4.515,0,0.0371,0.00267,0,0.306,0.345,77.502,4,"pop"
108,"double take","double take",75,171743,FALSE,0.456,0.437,8,-11.156,1,0.0867,0.839,0,0.218,0.209,108.678,4,"pop"
109,"Baddest of Them All","Crazy What Love Can Do",0,169756,FALSE,0.601,0.713,4,-3.758,0,0.0449,0.0282,0,0.158,0.464,122.872,4,"pop"
110,"Dil Maang Raha Hai (From ""Ghost"")","Dil Maang Raha Hai",66,193333,FALSE,0.636,0.726,10,-8.205,0,0.0456,0.341,0.00727,0.105,0.542,162.035,4,"pop"
111,"The Wall","Comfortably Numb",73,382296,FALSE,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,4,"rock"
112,"Daru Badnaam","Daru Badnaam",68,185333,FALSE,0.541,0.676,8,-3.893,0,0.153,0.442,0,0.159,0.845,90.037,4,"pop"
113,"Calm Christmas","Peace - First Sessions Demo",0,233173,FALSE,0.46,0.0414,10,-17.252,1,0.0414,0.978,0.00035,0.108,0.056,80.349,3,"jazz"
114,"Tek It - New Noise","Viva Las Vengeance",1,206580,FALSE,0.211,0.821,9,-5.423,0,0.0732,1.25e-05,0.0329,0.104,0.371,153.742,4,"rock"
115,"Dreams Revisited (Short Version)","Jiske Aane Se Mukammal",66,62942,FALSE,0.631,0.277,0,-6.119,0,0.0292,0.871,4.6e-05,0.151,0.88,139.733,4,"pop"
116,"Bájale como 7500","De Tanto Chimbiar",3,186066,FALSE,0.821,0.602,9,-6.628,1,0.168,0.108,0,0.246,0.628,90.035,4,"pop"
117,"Totally Rap","2step",0,163449,FALSE,0.693,0.643,4,-5.867,0,0.0828,0.138,0,0.108,0.477,95.055,4,"pop"
118,"Christmas Dinner","Only Thing I Ever Get For Christmas",0,192160,FALSE,0.54,0.63,10,-8.032,1,0.0494,0.217,0,0.111,0.321,85.648,4,"pop"
119,"Ponniyin Selvan Part-1 (Original Motion Picture Soundtrack)","Ponni Nadhi",68,290526,FALSE,0.687,0.633,8,-9.552,1,0.141,0.119,0,0.291,0.567,151.996,4,"pop"
120,"All I want For Christmas Is Music","The Christmas Song (Merry Christmas To You)",0,192160,FALSE,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,"jazz"
121,"Nothing Happens","Are You Bored Yet? (feat. Clairo)",80,178000,FALSE,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,4,"rock"
122,"Pablo","Pablo",66,279120,TRUE,0.731,0.73,2,-6.302,1,0.123,0.411,0,0.052,0.503,79.999,4,"pop"
123,"Teri Hogaiyaan (From ""Broken But Beautiful Season 2"")","Teri Hogaiyaan",69,175874,FALSE,0.404,0.43,5,-8.313,1,0.0336,0.779,0.000172,0.0941,0.51,106.322,5,"pop"
124,"Shaamat (From ""Ek Villain Returns"")","Shaamat (From ""Ek Villain Returns"")",70,334173,FALSE,0.537,0.628,10,-5.342,0,0.029,0.148,0,0.0355,0.514,97.87,4,"pop"
125,"20s Love Songs","Leave the Door Open",2,242096,FALSE,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4,"pop"
126,"Moody Wind","Moody Wind",52,192260,FALSE,0.766,0.38,4,-16.165,0,0.0409,0.756,0.0061,0.137,0.292,114.995,4,"jazz"
127,"Обратно в клас - rock","Here Without You",0,238560,FALSE,0.556,0.545,10,-6.768,0,0.0255,0.0635,0,0.124,0.193,143.991,4,"rock"
128,"The Script","The Man Who Can't Be Moved",75,241373,FALSE,0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,4,"rock"
129,"Halloween Kids Party 2022","Zombie",0,307440,FALSE,0.252,0.738,7,-5.326,1,0.0446,0.0145,0.000497,0.375,0.256,165.187,4,"rock"
130,"Fish Rock","Fish Rock",47,259127,FALSE,0.579,0.767,2,-6.916,1,0.0399,0.00475,0,0.394,0.475,149.975,4,"rock"
131,"Release Your ANGER","Symphony Of Destruction",0,246733,FALSE,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,"rock"
132,"ZEN 2022","And Then There Was You",0,185586,FALSE,0.471,0.0845,10,-20.204,1,0.0305,0.956,0.147,0.0825,0.149,84.608,3,"jazz"
133,"Santa Claus Is Coming To Town","Show Me The Magic",0,150412,FALSE,0.569,0.489,5,-5.594,0,0.04,0.238,0,0.29,0.543,123.573,4,"jazz"
134,"F*CK LOVE 3: OVER YOU","STAY (with Justin Bieber)",86,141805,TRUE,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4,"pop"
135,"Weihnachten Musik","Christmas Don't Be Late",0,160293,FALSE,0.497,0.374,10,-6.941,1,0.028,0.751,5.82e-05,0.118,0.235,66.785,4,"jazz"
136,"Other Things","Selenium Forest",48,365641,FALSE,0.472,0.72,3,-7.719,0,0.0383,0.0658,0.9,0.284,0.36,149.97,1,"jazz"
137,"Mega Hits Autumn/Fall 2022","I Will",0,267054,FALSE,0.453,0.576,5,-8.582,0,0.0445,0.632,0.000818,0.0906,0.341,139.947,4,"jazz"
138,"Hits Hits Hits","Viva Las Vengeance",0,206580,FALSE,0.211,0.821,9,-5.423,0,0.0732,1.25e-05,0.0329,0.104,0.371,153.742,4,"rock"
139,"Drive Thru","Peaches",74,189176,FALSE,0.663,0.478,4,-7.265,0,0.185,0.095,0,0.0705,0.341,85.264,4,"pop"
140,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",72,132158,FALSE,0.701,0.638,6,-3.711,1,0.302,0.492,0,0.153,0.813,177.867,4,"pop"
141,"Rockin' Around The Christmas Tree 2022","Rudolph The Red-Nosed Reindeer",0,171773,FALSE,0.596,0.315,8,-9.175,1,0.0428,0.961,0,0.258,0.64,119.935,4,"jazz"
142,"Dil Beparvah (The Dewarists, Season 5)","Dil Beparvah - The Dewarists, Season 5",54,250000,FALSE,0.762,0.391,1,-11.735,1,0.0337,0.867,0.000521,0.112,0.355,137.956,3,"rock"
143,"Manike Mage Hithe","Manike Mage Hithe",67,162772,FALSE,0.836,0.51,1,-10.091,0,0.371,0.713,3.35e-05,0.101,0.56,151.499,3,"pop"
144,"SOLO","SOLO",73,169566,FALSE,0.752,0.642,3,-5.165,0,0.0869,0.0861,0,0.0953,0.388,95.043,4,"pop"
145,"The Last Ride","The Last Ride",77,262247,FALSE,0.792,0.647,10,-5.447,0,0.334,0.0299,0,0.119,0.638,89.029,4,"pop"
146,"Kadın","Kadın",41,341094,FALSE,0.545,0.467,7,-8.641,0,0.0291,0.706,1.92e-06,0.112,0.251,88.178,4,"jazz"
147,"Weihnachten Playlist","'Zat You, Santa Claus? - Single Version",0,169092,FALSE,0.683,0.514,5,-9.168,0,0.252,0.325,0,0.161,0.654,122.097,4,"jazz"
148,"Pop Christmas 2022","The Christmas Song (Chestnuts Roasting On An Open Fire)",0,216426,FALSE,0.533,0.426,9,-9.525,0,0.0297,0.46,0,0.1,0.152,103.267,3,"pop"
149,"Tek It - New Noise","Clarity",0,227240,FALSE,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059,4,"rock"
150,"Seven Inches Of Satanic Panic","Mary On A Cross",88,244804,FALSE,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,4,"rock"
151,"Beginner Ride (Sweat & Burn)","bad guy",2,194087,FALSE,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,"pop"
152,"Amplifier","Amplifier",70,232906,FALSE,0.727,0.714,2,-4.494,1,0.0872,0.0209,0,0.153,0.618,164.003,4,"pop"
153,"Michael Bublé","Sway",74,188066,FALSE,0.713,0.639,2,-5.529,0,0.0313,0.753,0,0.0878,0.737,125.959,4,"jazz"
154,"Adi Penne","Adi Penne",68,301862,FALSE,0.591,0.648,7,-7.556,0,0.0392,0.449,0,0.382,0.423,107.978,1,"pop"
155,"Rockin' Around The Christmas Tree 2022","Happy Holiday",0,115506,FALSE,0.369,0.499,6,-9.301,1,0.0448,0.829,1.75e-06,0.154,0.69,192.76,3,"jazz"
156,"Silent Night","Christmas Time Is Here - Instrumental",0,366213,FALSE,0.418,0.116,5,-18.397,1,0.0331,0.966,0.648,0.138,0.0861,74.923,3,"jazz"
157,"World's Best Christmas Playlist","Let It Snow! Let It Snow! Let It Snow!",1,115240,FALSE,0.484,0.332,1,-10.312,1,0.037,0.787,0,0.373,0.683,134.999,4,"jazz"
158,"Christmas Dinner","Baby, It's Cold Outside",1,143733,FALSE,0.439,0.196,0,-16.093,1,0.0601,0.88,0,0.0513,0.525,129.581,4,"jazz"
159,"Imaikkaa Nodigal (Original Motion Picture Soundtrack)","Neeyum Naanum Anbe",66,285250,FALSE,0.467,0.826,4,-3.885,0,0.049,0.298,0,0.204,0.417,160.025,4,"pop"
